Node Number	X Location (m)	Y Location (m)	Z Location (m)	Maximum Combined Stress (Pa)
131	-9.0002e-002	2.0001e-002	-4.9998e-002	7.6902e+005
117	-0.13	9.9994e-003	-1.9998e-002	2.5387e+005
138	-1.0002e-002	-2.0001e-002	3.e-002	1.0928e+006
133	-0.11	2.0001e-002	-4.9998e-002	36567
146	-5.0002e-002	4.0001e-002	3.0002e-002	6.8917e+005
148	-0.13	-2.0001e-002	1.5e-006	1.6008e+006
129	-9.0002e-002	6.e-007	-4.9998e-002	2.5302e+005
128	-9.0002e-002	-9.9994e-003	-4.9998e-002	2.5305e+005
109	-0.13	-9.9994e-003	1.55e-006	1.1428e+005
108	-0.12	-1.0001e-002	1.55e-006	56789
130	-9.0002e-002	1.0001e-002	-4.9998e-002	2.5299e+005
147	-0.11	2.0001e-002	1.5e-006	9.3327e+005
162	-2.15e-006	-2.0001e-002	3.0002e-002	1.1161e+006
165	-2.0002e-002	-2.0001e-002	1.5e-006	1.265e+006
164	-2.0002e-002	-2.0001e-002	1.0002e-002	1.5753e+006
152	-0.11	-2.0001e-002	-4.9998e-002	36567
151	-0.1	-2.0001e-002	-4.9998e-002	57352
150	-0.13	-2.0001e-002	-9.9985e-003	1.0064e+006
159	-0.106	3.0001e-002	-3.7999e-002	1.3226e+006
158	-9.8002e-002	3.0001e-002	-4.3999e-002	1.8976e+006
168	-2.0002e-002	-2.0001e-002	-2.9999e-002	3.3401e+005
167	-2.0002e-002	-2.0001e-002	-1.9998e-002	6.4433e+005
170	-2.0002e-002	-2.0001e-002	-4.9999e-002	3.5608e+005
171	-2.0002e-002	-3.0001e-002	-4.9998e-002	7.57e+005
182	-2.0002e-002	2.0001e-002	-2.9999e-002	3.3439e+005
183	-2.0002e-002	2.0001e-002	-1.9998e-002	6.446e+005
184	-2.0002e-002	2.0001e-002	-9.9985e-003	9.5482e+005
